teamA;teamB;goalsA;goalsB;region
Suriname;Kaimaninseln;3;0;CONCACAF
Kanada;Bermuda;5;1;CONCACAF
Aruba;Suriname;0;6;CONCACAF
Kaimaninseln;Kanada;0;11;CONCACAF
Bermuda;Aruba;5;0;CONCACAF
Kaimaninseln;Aruba;1;3;CONCACAF
Suriname;Bermuda;6;0;CONCACAF
Aruba;Kanada;0;7;CONCACAF
Bermuda;Kaimaninseln;1;1;CONCACAF
Kanada;Suriname;4;0;CONCACAF
Guatemala;Kuba;1;0;CONCACAF
Curaçao;St. Vincent/Grenadines;5;0;CONCACAF
Br. Jungferninseln;Guatemala;0;3;CONCACAF
Kuba;Curaçao;1;2;CONCACAF
St. Vincent/Grenadines;Br. Jungferninseln;3;0;CONCACAF
Kuba;Br. Jungferninseln;5;0;CONCACAF
Guatemala;St. Vincent/Grenadines;10;0;CONCACAF
Br. Jungferninseln;Curaçao;0;8;CONCACAF
St. Vincent/Grenadines;Kuba;0;1;CONCACAF
Curaçao;Guatemala;0;0;CONCACAF
Dom. Republik;Dominica;1;0;CONCACAF
Panama;Barbados;1;0;CONCACAF
Anguilla;Dom. Republik;0;6;CONCACAF
Dominica;Panama;1;2;CONCACAF
Barbados;Anguilla;1;0;CONCACAF
Dominica;Anguilla;3;0;CONCACAF
Dom. Republik;Barbados;1;1;CONCACAF
Anguilla;Panama;0;13;CONCACAF
Barbados;Dominica;1;1;CONCACAF
Panama;Dom. Republik;3;0;CONCACAF
Nicaragua;St. Lucia;n.gesp.;;CONCACAF
Haiti;Belize;2;0;CONCACAF
Turks & Caicos;Nicaragua;0;7;CONCACAF
Belize;Turks & Caicos;5;0;CONCACAF
Nicaragua;Belize;3;0;CONCACAF
Turks & Caicos;Haiti;0;10;CONCACAF
Belize;St. Lucia;n.gesp.;;CONCACAF
Haiti;Nicaragua;1;0;CONCACAF
St. Kitts & Nevis;Puerto Rico;1;0;CONCACAF
Trinidad & Tobago;Guyana;3;0;CONCACAF
Bahamas;St. Kitts & Nevis;0;4;CONCACAF
Puerto Rico;Trinidad & Tobago;1;1;CONCACAF
Guyana;Bahamas;4;0;CONCACAF
Puerto Rico;Bahamas;7;0;CONCACAF
St. Kitts & Nevis;Guyana;3;0;CONCACAF
Bahamas;Trinidad & Tobago;0;0;CONCACAF
Guyana;Puerto Rico;0;2;CONCACAF
Trinidad & Tobago;St. Kitts & Nevis;2;0;CONCACAF
Kanada;Honduras;1;1;CONCACAF
Panama;Costa Rica;0;0;CONCACAF
Mexiko;Jamaika;2;1;CONCACAF
El Salvador;USA;0;0;CONCACAF
Jamaika;Panama;0;3;CONCACAF
El Salvador;Honduras;0;0;CONCACAF
Costa Rica;Mexiko;0;1;CONCACAF
USA;Kanada;1;1;CONCACAF
Kanada;El Salvador;3;0;CONCACAF
